job_id,title,url,location,posted_date,description,facility_name_raw,facility_name_standard,verified_facility
613442,Food Service Manager,https://career4.successfactors.com/sfcareer/jobreqcareer?jobId=613442&company=ARAMARKPROD,"Glasgow, KY",2025-10-24,,,,0
614091,Food Service Worker- VOA of Chesapeake,https://career4.successfactors.com/sfcareer/jobreqcareer?jobId=614091&company=ARAMARKPROD,"Baltimore, MD",2025-10-24,,,,0
614128,General Manager I,https://career4.successfactors.com/sfcareer/jobreqcareer?jobId=614128&company=ARAMARKPROD,"Fort Worth, TX",2025-10-24,,,,0
614150,Custodial Services Worker - Dona Ana (Facilities),https://career4.successfactors.com/sfcareer/jobreqcareer?jobId=614150&company=ARAMARKPROD,"Las Cruces, NM",2025-10-24,,Dona Ana (Facilities),,0
614164,Food Service Worker - Medina County Home,https://career4.successfactors.com/sfcareer/jobreqcareer?jobId=614164&company=ARAMARKPROD,"Medina, OH",2025-10-24,,Medina County Home,,0
613401,Food Service Worker Lead - Lucas County Jail,https://career4.successfactors.com/sfcareer/jobreqcareer?jobId=613401&company=ARAMARKPROD,"Toledo, OH",2025-10-23,,Lucas County Jail,,0
613685,General Manager - Correctional Services,https://career4.successfactors.com/sfcareer/jobreqcareer?jobId=613685&company=ARAMARKPROD,"Charlotte, NC",2025-10-23,,Correctional Services,,0
613720,General Maintenance I - Oriana House (Facilities),https://career4.successfactors.com/sfcareer/jobreqcareer?jobId=613720&company=ARAMARKPROD,"Akron, OH",2025-10-23,,Oriana House (Facilities),,0
613721,Maintenance Worker,https://career4.successfactors.com/sfcareer/jobreqcareer?jobId=613721&company=ARAMARKPROD,"Cleveland, OH",2025-10-23,,,,0
613841,Corrections Oversight Worker - Dutchess County Jail,https://career4.successfactors.com/sfcareer/jobreqcareer?jobId=613841&company=ARAMARKPROD,"Poughkeepsie, NY",2025-10-23,,Dutchess County Jail,,0
613900,Corrections Oversight Worker - Tygart Valley Regional Jail and Correctional Facility,https://career4.successfactors.com/sfcareer/jobreqcareer?jobId=613900&company=ARAMARKPROD,"Belington, WV",2025-10-23,,Tygart Valley Regional Jail and Correctional Facility,Marble Valley Regional Correctional Facility,1
613927,Food Service Worker - Mecklenburg County Jail,https://career4.successfactors.com/sfcareer/jobreqcareer?jobId=613927&company=ARAMARKPROD,"Charlotte, NC",2025-10-23,,Mecklenburg County Jail,,0
613971,Kitchen Supervisor - Liberty - CI/SU - (120/142),https://career4.successfactors.com/sfcareer/jobreqcareer?jobId=613971&company=ARAMARKPROD,"Bristol, FL",2025-10-23,,Liberty - CI/SU,,0
613983,Food Service Worker Lead - Liberty - CI/SU - (120/142),https://career4.successfactors.com/sfcareer/jobreqcareer?jobId=613983&company=ARAMARKPROD,"Bristol, FL",2025-10-23,,Liberty - CI/SU,,0
614019,Corrections Oversight Worker - Okaloosa - CI/WC - (115/161),https://career4.successfactors.com/sfcareer/jobreqcareer?jobId=614019&company=ARAMARKPROD,"Crestview, FL",2025-10-23,,Okaloosa - CI/WC,,0
614033,"Warehouse Worker - Brevard County Commissary, FL",https://career4.successfactors.com/sfcareer/jobreqcareer?jobId=614033&company=ARAMARKPROD,"Cocoa, FL",2025-10-23,,"Brevard County Commissary, FL",,0
610022,Food Service Director,https://career4.successfactors.com/sfcareer/jobreqcareer?jobId=610022&company=ARAMARKPROD,"Crestview, FL",2025-10-22,,,,0
613457,Kitchen Supervisor - Huttonsville Correction Center,https://career4.successfactors.com/sfcareer/jobreqcareer?jobId=613457&company=ARAMARKPROD,"Huttonsville, WV",2025-10-22,,Huttonsville Correction Center,Haynesville Correctional Center,1
